DATA,DERIVATIVO,PARTICIPANTE,LONGCONTRACTS,LONG_,SHORTCONTRACTS,SHORT_,SALDO
14/01/2010,US DOLLAR FUTURES,Domestic,141127.0,20.62,147670.0,21.58,-6543.0
14/01/2010,US DOLLAR FUTURES,Nonresident Investors,275108.0,40.2,177727.0,25.97,97381.0
14/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,275108.0,40.2,177727.0,25.97,97381.0
14/01/2010,US DOLLAR FUTURES,Corporations,49695.0,7.26,21620.0,3.16,28075.0
14/01/2010,US DOLLAR FUTURES,Individuals,390.0,0.06,700.0,0.1,-310.0
14/01/2010,US DOLLAR FUTURES,Total,684269.0,100.0,684269.0,100.0,0.0
15/01/2010,US DOLLAR FUTURES,Financial Institutions,216174.0,30.95,346672.0,49.63,-130498.0
15/01/2010,US DOLLAR FUTURES,Banks,162044.0,23.2,346355.0,49.59,-184311.0
15/01/2010,US DOLLAR FUTURES,Brokers & Dealers,220.0,0.03,222.0,0.03,-2.0
15/01/2010,US DOLLAR FUTURES,Other,53910.0,7.72,95.0,0.01,53815.0
15/01/2010,US DOLLAR FUTURES,Institutional Investors,147071.0,21.06,144713.0,20.72,2358.0
15/01/2010,US DOLLAR FUTURES,Domestic,147071.0,21.06,144713.0,20.72,2358.0
15/01/2010,US DOLLAR FUTURES,Nonresident Investors,280297.0,40.13,184227.0,26.38,96070.0
15/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,280297.0,40.13,184227.0,26.38,96070.0
15/01/2010,US DOLLAR FUTURES,Corporations,54530.0,7.81,22025.0,3.15,32505.0
15/01/2010,US DOLLAR FUTURES,Individuals,405.0,0.06,840.0,0.12,-435.0
15/01/2010,US DOLLAR FUTURES,Total,698477.0,100.0,698477.0,100.0,0.0
18/01/2010,US DOLLAR FUTURES,Financial Institutions,224199.0,31.8,343747.0,48.75,-119548.0
18/01/2010,US DOLLAR FUTURES,Banks,168849.0,23.95,343410.0,48.71,-174561.0
18/01/2010,US DOLLAR FUTURES,Brokers & Dealers,240.0,0.03,247.0,0.04,-7.0
18/01/2010,US DOLLAR FUTURES,Other,55110.0,7.82,90.0,0.01,55020.0
18/01/2010,US DOLLAR FUTURES,Institutional Investors,150071.0,21.28,143278.0,20.32,6793.0
18/01/2010,US DOLLAR FUTURES,Domestic,150071.0,21.28,143278.0,20.32,6793.0
18/01/2010,US DOLLAR FUTURES,Nonresident Investors,270426.0,38.35,195261.0,27.69,75165.0
18/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,270426.0,38.35,195261.0,27.69,75165.0
18/01/2010,US DOLLAR FUTURES,Corporations,59960.0,8.5,21995.0,3.12,37965.0
18/01/2010,US DOLLAR FUTURES,Individuals,420.0,0.06,795.0,0.11,-375.0
18/01/2010,US DOLLAR FUTURES,Total,705076.0,100.0,705076.0,100.0,0.0
19/01/2010,US DOLLAR FUTURES,Financial Institutions,248267.0,32.93,345077.0,45.77,-96810.0
19/01/2010,US DOLLAR FUTURES,Banks,191932.0,25.46,344725.0,45.72,-152793.0
19/01/2010,US DOLLAR FUTURES,Brokers & Dealers,225.0,0.03,262.0,0.03,-37.0
19/01/2010,US DOLLAR FUTURES,Other,56110.0,7.44,90.0,0.01,56020.0
19/01/2010,US DOLLAR FUTURES,Institutional Investors,158394.0,21.01,169599.0,22.5,-11205.0
19/01/2010,US DOLLAR FUTURES,Domestic,158394.0,21.01,169599.0,22.5,-11205.0
19/01/2010,US DOLLAR FUTURES,Nonresident Investors,281894.0,37.39,213514.0,28.32,68380.0
19/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,281894.0,37.39,213514.0,28.32,68380.0
19/01/2010,US DOLLAR FUTURES,Corporations,64880.0,8.61,24780.0,3.29,40100.0
19/01/2010,US DOLLAR FUTURES,Individuals,485.0,0.06,950.0,0.13,-465.0
19/01/2010,US DOLLAR FUTURES,Total,753920.0,100.0,753920.0,100.0,0.0
20/01/2010,US DOLLAR FUTURES,Financial Institutions,239342.0,32.0,328767.0,43.96,-89425.0
20/01/2010,US DOLLAR FUTURES,Banks,183027.0,24.47,328450.0,43.91,-145423.0
20/01/2010,US DOLLAR FUTURES,Brokers & Dealers,205.0,0.03,227.0,0.03,-22.0
20/01/2010,US DOLLAR FUTURES,Other,56110.0,7.5,90.0,0.01,56020.0
20/01/2010,US DOLLAR FUTURES,Institutional Investors,150237.0,20.09,174140.0,23.28,-23903.0
20/01/2010,US DOLLAR FUTURES,Domestic,150237.0,20.09,174140.0,23.28,-23903.0
20/01/2010,US DOLLAR FUTURES,Nonresident Investors,284555.0,38.05,218717.0,29.24,65838.0
20/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,284555.0,38.05,218717.0,29.24,65838.0
20/01/2010,US DOLLAR FUTURES,Corporations,73270.0,9.8,25250.0,3.38,48020.0
20/01/2010,US DOLLAR FUTURES,Individuals,520.0,0.07,1050.0,0.14,-530.0
20/01/2010,US DOLLAR FUTURES,Total,747924.0,100.0,747924.0,100.0,0.0
21/01/2010,US DOLLAR FUTURES,Financial Institutions,257652.0,33.48,335622.0,43.61,-77970.0
21/01/2010,US DOLLAR FUTURES,Banks,200817.0,26.09,335305.0,43.56,-134488.0
21/01/2010,US DOLLAR FUTURES,Brokers & Dealers,225.0,0.03,227.0,0.03,-2.0
21/01/2010,US DOLLAR FUTURES,Other,56610.0,7.36,90.0,0.01,56520.0
21/01/2010,US DOLLAR FUTURES,Institutional Investors,144163.0,18.73,183462.0,23.84,-39299.0
21/01/2010,US DOLLAR FUTURES,Domestic,144163.0,18.73,183462.0,23.84,-39299.0
21/01/2010,US DOLLAR FUTURES,Nonresident Investors,289299.0,37.59,223510.0,29.04,65789.0
21/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,289299.0,37.59,223510.0,29.04,65789.0
21/01/2010,US DOLLAR FUTURES,Corporations,78205.0,10.16,26235.0,3.41,51970.0
21/01/2010,US DOLLAR FUTURES,Individuals,355.0,0.05,845.0,0.11,-490.0
21/01/2010,US DOLLAR FUTURES,Total,769674.0,100.0,769674.0,100.0,0.0
22/01/2010,US DOLLAR FUTURES,Financial Institutions,248402.0,32.36,332402.0,43.31,-84000.0
22/01/2010,US DOLLAR FUTURES,Banks,191562.0,24.96,332045.0,43.26,-140483.0
22/01/2010,US DOLLAR FUTURES,Brokers & Dealers,230.0,0.03,267.0,0.03,-37.0
22/01/2010,US DOLLAR FUTURES,Other,56610.0,7.38,90.0,0.01,56520.0
22/01/2010,US DOLLAR FUTURES,Institutional Investors,141168.0,18.39,189770.0,24.72,-48602.0
22/01/2010,US DOLLAR FUTURES,Domestic,141168.0,18.39,189770.0,24.72,-48602.0
22/01/2010,US DOLLAR FUTURES,Nonresident Investors,294266.0,38.34,219884.0,28.65,74382.0
22/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,294266.0,38.34,219884.0,28.65,74382.0
22/01/2010,US DOLLAR FUTURES,Corporations,83305.0,10.85,24720.0,3.22,58585.0
22/01/2010,US DOLLAR FUTURES,Individuals,390.0,0.05,755.0,0.1,-365.0
22/01/2010,US DOLLAR FUTURES,Total,767531.0,100.0,767531.0,100.0,0.0
26/01/2010,US DOLLAR FUTURES,Financial Institutions,263245.0,33.58,348205.0,44.41,-84960.0
26/01/2010,US DOLLAR FUTURES,Banks,206410.0,26.33,347883.0,44.37,-141473.0
26/01/2010,US DOLLAR FUTURES,Brokers & Dealers,225.0,0.03,232.0,0.03,-7.0
26/01/2010,US DOLLAR FUTURES,Other,56610.0,7.22,90.0,0.01,56520.0
26/01/2010,US DOLLAR FUTURES,Institutional Investors,148524.0,18.94,194833.0,24.85,-46309.0
26/01/2010,US DOLLAR FUTURES,Domestic,148524.0,18.94,194833.0,24.85,-46309.0
26/01/2010,US DOLLAR FUTURES,Nonresident Investors,283708.0,36.19,215244.0,27.45,68464.0
26/01/2010,US DOLLAR FUTURES,Nonresident investors - RES.2689,283708.0,36.19,215244.0,27.45,68464.0
26/01/2010,US DOLLAR FUTURES,Corporations,88200.0,11.25,24865.0,3.17,63335.0
