IDENTIFICADOR;DATA;DERIVATIVO;PARTICIPANTE;LONGCONTRACTS;LONG_;SHORTCONTRACTS;SHORT_;SALDO
27012010_US DOLLAR FUTURES_Other;27/01/2010;US DOLLAR FUTURES;Other;56610;6.88;90;0.01;56520
27012010_US DOLLAR FUTURES_Institutional Investors;27/01/2010;US DOLLAR FUTURES;Institutional Investors;146696;17.83;215511;26.2;-68815
27012010_US DOLLAR FUTURES_Domestic;27/01/2010;US DOLLAR FUTURES;Domestic;146696;17.83;215511;26.2;-68815
27012010_US DOLLAR FUTURES_Nonresident Investors;27/01/2010;US DOLLAR FUTURES;Nonresident Investors;306337;37.24;213882;26.0;92455
27012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;27/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;306337;37.24;213882;26.0;92455
27012010_US DOLLAR FUTURES_Corporations;27/01/2010;US DOLLAR FUTURES;Corporations;87845;10.68;24990;3.04;62855
27012010_US DOLLAR FUTURES_Individuals;27/01/2010;US DOLLAR FUTURES;Individuals;340;0.04;965;0.12;-625
27012010_US DOLLAR FUTURES_Total;27/01/2010;US DOLLAR FUTURES;Total;822553;100.0;822553;100.0;0
28012010_US DOLLAR FUTURES_Financial Institutions;28/01/2010;US DOLLAR FUTURES;Financial Institutions;318473;36.62;430073;49.45;-111600
28012010_US DOLLAR FUTURES_Banks;28/01/2010;US DOLLAR FUTURES;Banks;260468;29.95;429646;49.4;-169178
28012010_US DOLLAR FUTURES_Brokers & Dealers;28/01/2010;US DOLLAR FUTURES;Brokers & Dealers;315;0.04;342;0.04;-27
28012010_US DOLLAR FUTURES_Other;28/01/2010;US DOLLAR FUTURES;Other;57690;6.63;85;0.01;57605
28012010_US DOLLAR FUTURES_Institutional Investors;28/01/2010;US DOLLAR FUTURES;Institutional Investors;150951;17.36;215378;24.76;-64427
28012010_US DOLLAR FUTURES_Domestic;28/01/2010;US DOLLAR FUTURES;Domestic;150951;17.36;215378;24.76;-64427
28012010_US DOLLAR FUTURES_Nonresident Investors;28/01/2010;US DOLLAR FUTURES;Nonresident Investors;309015;35.53;199474;22.94;109541
28012010_US DOLLAR FUTURES_Nonresident investors - RES.2689;28/01/2010;US DOLLAR FUTURES;Nonresident investors - RES.2689;309015;35.53;199474;22.94;109541
28012010_US DOLLAR FUTURES_Corporations;28/01/2010;US DOLLAR FUTURES;Corporations;90876;10.45;23300;2.68;67576
28012010_US DOLLAR FUTURES_Individuals;28/01/2010;US DOLLAR FUTURES;Individuals;385;0.04;1475;0.17;-1090
28012010_US DOLLAR FUTURES_Total;28/01/2010;US DOLLAR FUTURES;Total;869700;100.0;869700;100.0;0
29012010_US DOLLAR FUTURES_Financial Institutions;29/01/2010;US DOLLAR FUTURES;Financial Institutions;315233;35.9;434063;49.44;-118830
29012010_US DOLLAR FUTURES_Banks;29/01/2010;US DOLLAR FUTURES;Banks;255973;29.15;433606;49.38;-177633
29012010_US DOLLAR FUTURES_Brokers & Dealers;29/01/2010;US DOLLAR FUTURES;Brokers & Dealers;330;0.04;372;0.04;-42
29012010_US DOLLAR FUTURES_Other;29/01/2010;US DOLLAR FUTURES;Other;58930;6.71;85;0.01;58845
29012010_US DOLLAR FUTURES_Institutional Investors;29/01/2010;US DOLLAR FUTURES;Institutional Investors;152111;17.32;209977;23.91;-57866
